type,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8
Gabriel,Cyan blue earrings,Deep yellow  bar type ear,Cyan violet black perch blossom eye,Violet the points bang waves  hair,Deep red mouth,Orange pointed nose,Golden butterfly pattern necklace,Violet four winged
Cassiel,Blue necklace,Green pentagon era,Gray black willow eye,White arc bangs wave hair,Deep red rectangle mouth,Violet long nose,Cyan bar head,Violet wing
Ambiel,White green cat head band,Light red pentagon era,Cyan black phonix eye,Golden points in the temples hair,Pink mouth,Red aquiline nose,Blue trident,Cyan  six wings
Zuriel,Yellow pendant,Green cat ear,Yellow orange litchi eye,Green shoulder length hair,Black heart shaped mouth,Orange round nose,Cyan yellow ellipse truncheon,White six wings
Manuel,Green pendant,Violet short ear,Cyan yellow black perch blossom eye,Golden shoulder length hair,Black heart shaped mouth,Light orange pointed nose,Golden cross,Golden six wings
Danae,Violet wing cloak,Violet triangle ear,Cyan brownness black perch blossom eye,Green braid hair,Orange round mouth,Cyan round nose,Golden butterfly pattern necklace,Golden six wings
Ambiel,Yellow black,Blue deer ear,Gray black willow eye,Dark red the curly hair,Violet round mouth,Blue round nose,Cyan golden ellipse truncheon ,Golden six wings
Gabriel,White cyan authority,Green deer ear,Yellow golden black perch blossom eye,Violet shawls hair,Black heart shaped mouth,Blue long nose,Yellow ellipse truncheon,Golden two wing
Hamaliel,Blue bar necklace,Light black cat ear,Blue black phonix eye,Dark red shoulder length hair,Orange mouth,Deep red round nose,Cyan golden ellipse truncheon ,White two wing
Malahidiel,Red long stick,Deep red pentagon era,Yellow pink black perch blossom eye,Golden side swept fringe waves  hair,Deep red round mouth,Orange short nose,Red spear,Cyan two wing
Haniel,Green belt,Blue triangle ear,Yellow brownness black perch blossom eye,Green long hair,Light yellow oval mouth,Deep orange aquiline nose,White preious stone necklace,Violet two wing
Michael,Yellow black,Deep yellow pentagon era,Cyan orange lifting eye,Green  waves hair,Brownness round mouth,Light brownness round nose,Cyan violet ellipse truncheon,Violet six wings
Ambiel,White green cat head band,Light red elf ear,Yellow red black perch blossom eye,White waves hair,Light yellow heart shaped mouth,Deep blue aquiline nose,Cyan ellipse truncheon,Violet two wing
Michael,Cyan front lace wig,Deep yellow rabbit ear ,Yellow pink black perch blossom eye,Violet arc bangs wave hair,Black oval mouth,Red pointed nose,Cyan butterfly pattern necklace,Golden four winged
Asmodel,Cyan round earring,Light red  bar type ear,Yellow red black round eye,Cyan shoulder length hair,Rectangle mouth,Black round nose,Cyan butterfly pattern necklace,White six wings
Haniel,Golden cloak,Orange deer ear,Cyan orange black rui cheng eye,Cyan side swept fringe waves  hair,Brownness round mouth,Orange aquiline nose,White ellipse truncheon,Cyan four winged
Adnachiel,Pink crown,Light red triangle ear,Cyan yellow black perch blossom eye,Brownness side swept fringe waves  hair,Black mouth,Deep blue long nose,White ellipse truncheon,Cyan  six wings
Verchiel,Cyan crown,Deep yellow deer ear,Cyan blue black rui cheng eye,Dark red shoulder length hair,Deep red round mouth,Light red round nose,Cyan white ellipse truncheon,Violet wing
Gabriel,Cyan necklace,Light red short ear,Cyan yellow black perch blossom eye,Golden arc bangs wave hair,Viole heart shaped mouth,Deep red long nose,Blue spear,Black  six wings
Zuriel,Pink necklace,Brownness short ear,Dark red black phonix eye,Cyan the vertical bun hair,Light brownness round mouth,Black aquiline nose,Red V necklace,White two wing
Ambiel,White green cat head band,Light red elf ear,Cyan red black perch blossom eye,Dark red short voume hair,Rectangle mouth,Deep red long nose,Blue saint sword,Cyan wing
Danae,Violet bar necklace,Deep yellow deer ear,Cyan red black perch blossom eye,Green arc bangs wave hair,Orange round mouth,Deep red round nose,Golden trident,Violet wing
Gabriel,Pink crown,Light red long ear,Cyan violet black rui cheng eye,Violet arc bangs wave hair,Black rectangle mouth,Blue round nose,Cyan bar head,White six wings
Danae,Pink crown,Brownness long ear,Yellow red black round eye,Black braid hair,Yellow mouth,Violet short nose,White V necklace,
Danae,Violet bar necklace,Deep yellow deer ear,Light orange litchi eye,Dark red points in the temples hair,Viole heart shaped mouth,Orange pointed nose,,Violet two wing
Hamaliel,Green butterfly head band,Deep yellow long ear,Yellow green black round eye,Black long hair,Black oval mouth,Light red  pointed nose,Cyan white ellipse truncheon,Violet four winged
Manuel,Yellow belt,Violet cat ear,Cyan gray black perch blossom eye,Violet the points bang waves  hair,Deep red heart shaped mouth,Violet short nose,Golden ellipse truncheon,Golden six wings
Malahidiel,Blue black,Cyan deer ear ,Yellow pink black perch blossom eye,Cyan side swept fringe waves  hair,Violet mouth,Deep orange long nose,White spear,Violet wing
Michael,White cyan authority,Brownness triangle ear,Light red black lifting eye,Golden the curly hair,Brownness mouth,Light orange round nose,Red dress cross necklace,White two wing
Asmodel,Blue cloak,Blue elf ear,Yellow orange black round eye,White the points bang waves  hair,Black rectangle mouth,Black round nose,White cross,Golden four winged
Ambiel,Cyan black cat head band,Light red triangle ear,Cyan brownness black perch blossom eye,White the vertical bun hair,Yellow mouth,Deep blue aquiline nose,Cyan preious stone necklace,Violet wing
Michael,Yellow cyan earrings,Violet pentagon era,Cyan golden black rui cheng eye,Cyan arc bangs wave hair,Black oval mouth,Black long nose,Blue spear,Golden six wings
Hamaliel,Golden crown,Violet triangle ear,Deep red black willow eye,White braid hair,Orange mouth,Light red  pointed nose,Cyan clothing,White six wings
Gabriel,White cyan authority,Deep yellow rabbit ear ,Light cyan orange black rui cheng eye,Golden the curly hair,Deep red heart shaped mouth,Blue short nose,Blue triangle necklace,
Gabriel,Cyan earrings,Green rabbit ear,Gray black willow eye,White shawls hair,Rectangle mouth,Blue pointed nose,Golden cross,Golden four winged
Manuel,Green pendant,Violet short ear,Cyan yellow black perch blossom eye,White side swept fringe waves  hair,Black mouth,Deep blue aquiline nose,Cyan butterfly pattern necklace,
Asmodel,Golden butterfly head band,Deep red pentagon era,Violet black willow eye,Golden braid hair,Deep red rectangle mouth,Light orange pointed nose,Red V necklace,
Barbiel,Cyan wing cloak,Deep yellow long ear,Orange black phonix eye,Black the curly hair,Red heart shaped mouth,Violet short nose,Golden ellipse truncheon,
Hamaliel,Green butterfly head band,Light red short ear,Cyan red black rui cheng eye,White the points bang waves  hair,Brownness round mouth,Light red  pointed nose,Red butterfly pattern necklace,Violet six wings
Danae,Green pendant,Cyan elf ear,Deep cyan black lifting eye,Cyan the points bang waves  hair,Red heart shaped mouth,Deep orange pointed nose,Blue V necklace,Golden four winged
Cassiel,Green round earring,Green rabbit ear,Yellow black lifting eye,White long hair,Black oval mouth,Orange round nose,Golden ellipse truncheon,
Zuriel,Yellow earrings,Brownness pentagon era,Yellow red black round eye,Brownness braid hair,Viole heart shaped mouth,Blue round nose,Blue triangle necklace,Violet wing
Adnachiel,Cyan black earring,Deep yellow triangle ear,Cyan black lifting eye,Cyan waves hair,Pink mouth,Orange round nose,Yellow semicircle truncheon,
Haniel,Green pendant,Orange bar type ear,Cyan yellow black perch blossom eye,White braid hair,Light yellow oval mouth,Violet short nose,White ellipse truncheon,Cyan two wing
Verchiel,White green authority,Blue short ear,Light orange litchi eye,Violet the points bang waves  hair,Pink mouth,Black short nose,Golden semicircle truncheon,Violet wing
Gabriel,Blue bar necklace,Deep red rabbit ear,Yellow orange litchi eye,White waves hair,Black mouth,Deep orange long nose,Cyan violet ellipse truncheon,White six wings
Haniel,Green belt,Orange pentagon era,Deep orange black phonix eye,Violet braid hair,Black round mouth,Red aquiline nose,Blue shield,Cyan two wing
Adnachiel,Cyan long stick,Violet cat ear,Yellow orange litchi eye,Golden shoulder length hair,Red heart shaped mouth,Deep orange aquiline nose,Deep cyan ellipse truncheon,Violet wing
Ambiel,Violet black,Deep yellow short ear,Yellow cyan  black perch blossom eye,Violet short voume hair,Small orange mouth,Blue aquiline nose,Blue butterfly pattern necklace,Violet six wings
Malahidiel,Violet  hair clasp,Green  bar type ear,Light red black lifting eye,Green shoulder length hair,Brownness mouth,Brownness round nose,Golden ellipse truncheon,Violet six wings
Haniel,Light cyan hair clasp,Green cat ear,Bright red black phonix eye,Violet the points bang waves  hair,Deep red mouth,Red pointed nose,Blue saint sword,White two wing
Malahidiel,Cyan pink earrings,Light red triangle ear,Yellow gray black round eye,White points in the temples hair,Deep red rectangle mouth,Green pointed nose,Violet ellipse truncheon,White two wing
Barbiel,Green round earring,Cyan rabbit ear,Light yellow orange black round eye,Violet braid hair,Light brownness round mouth,Deep red round nose,White semicircle truncheon,Black  six wings
Zuriel,Blue long stick,Light black cat ear,Cyan yellow black rui cheng eye,White the curly hair,Viole heart shaped mouth,Blue short nose,Blue shield,Golden six wings
Zuriel,Yellow helmet,Light black rabbit ear,Bright red black phonix eye,Golden shoulder length hair,Black heart shaped mouth,Violet long nose,Golden semicircle truncheon,White six wings
Ambiel,Blue crown,Brownness short ear,Blue black phonix eye,Cyan the curly hair,Pink mouth,Green pointed nose,White ellipse truncheon,Violet four winged
Barbiel,Cyan  hair clasp,Light black cat ear,Green black phonix eye,Cyan points in the temples hair,Brownness mouth,Dark red round nose,Blue saint sword,Violet six wings
Michael,Yellow cyan earrings,Orange cat ear,Cyan orange black rui cheng eye,Violet the points bang waves  hair,Deep red rectangle mouth,Brownness round nose,White trident,Golden six wings
Asmodel,Pink green earrings,Cyan elf ear,Cyan gray black perch blossom eye,Black arc bangs wave hair ,Yellow mouth,Deep blue short nose,White bar head,Violet four winged
Gabriel,Green black,Light black  bar type ear,Yellow blue black round eye,Violet the points bang waves  hair,Red mouth,Light brownness round nose,Blue V necklace,Golden wing
Hamaliel,Blue bar necklace,Green rabbit ear,Yellow black long and thin eye,White side swept fringe waves  hair,Deep red rectangle mouth,Light red  pointed nose,,
Michael,Cyan front lace wig,Deep red pentagon era,Violet black willow eye,Green shoulder length hair,Violet round mouth,Deep blue long nose,White butterfly pattern necklace,
Cassiel,yellow round earring,Light black elf ear,Dark red black phonix eye,Brownness the points bang waves  hair,Small orange mouth,Red short nose,Cyan shield,Black  six wings
Felicia,Cyan crown,Brownness rabbit ear,Cyan yellow black perch blossom eye,Black shoulder length hair,Black rectangle mouth,Deep orange short nose,White trident,Cyan four winged
Barbiel,Blue necklace,Violet long ear,Green  black willow eye,Dark red shawls hair,Light yellow oval mouth,Violet pointed nose,Blue saint sword,Violet wing
Felicia,Red helmet,Light red triangle ear,Yellow black lifting eye,Cyan waves hair,Deep red round mouth,Light red  pointed nose,Cyan clothing,White two wing
Manuel,Cyan black earring,Cyan long ear,Cyan violet black perch blossom eye,Brownness arc bangs wave hair,Light brownness round mouth,Violet aquiline nose,White bar head,Golden wing
Danae,Green pendant,Deep yellow deer ear,Deep orange black phonix eye,White shoulder length hair,Light yellow heart shaped mouth,Deep red aquiline nose,Cyan golden ellipse truncheon ,Golden two wing
Cassiel,Cyan pendant,Cyan  bar type ear,Cyan black willow eye,Violet braid hair,Violet oval mouth,Orange short nose,Blue saint sword,Violet two wing
Gabriel,Yellow helmet,Deep red cat ear,Brownness black willow eye,Black waves hair,Red mouth,Orange round nose,White spear,
Verchiel,White green authority,Blue short ear,Cyan red black rui cheng eye,Green side swept fringe waves  hair,Light yellow heart shaped mouth,Orange pointed nose,Golden butterfly pattern necklace,Violet six wings
Felicia,Red helmet,Brownness cat ear,Cyan orange black perch blossom eye,Cyan shoulder length hair,Black heart shaped mouth,Red round nose,Cyan spear,Violet wing
Ambiel,Cyan belt,Light black long ear,Cyan black lifting eye,Violet the vertical bun hair,Pink mouth,Blue short nose,Red shield,Violet six wings
Danae,Cyan crown,Cyan  bar type ear,Yellow black lifting eye,Green  the vertical bun hair,Small orange mouth,Light red  pointed nose,Violet ellipse truncheon,Golden six wings
Zuriel,Violet round earring,Deep yellow  bar type ear,White orange litchi eye ,White waves hair,Light yellow oval mouth,Cyan short nose,White butterfly pattern necklace,White four winged
Barbiel,Yellow belt,Green cat ear,Cyan black long and thin eye,Brownness the curly hair,Light yellow oval mouth,Light orange pointed nose,Red saint sword,White wing
Adnachiel,Green black earring,Deep yellow elf ear,Light red black lifting eye,Brownness the vertical bun hair,Black oval mouth,Deep orange pointed nose,White saint sword,
Barbiel,Cyan wing cloak,Blue triangle ear,Cyan brownness black perch blossom eye,Violet short voume hair,Viole heart shaped mouth,Orange pointed nose,Golden clothing,White four winged
Gabriel,Cyan front lace wig,Cyan  bar type ear,Cyan orange black perch blossom eye,Brownness waves hair,Viole heart shaped mouth,Green round nose,Cyan ellipse truncheon,Cyan four winged
Adnachiel,Red helmet,Blue short ear,Yellow red black perch blossom eye,Black arc bangs wave hair ,Yellow mouth,Red long nose,Golden dress cross necklace,Golden four winged
Adnachiel,Cyan long stick,Blue  bar type ear,Cyan black lifting eye,Black the curly hair,Light yellow oval mouth,Deep orange aquiline nose,White triangle necklace,Violet four winged
Adnachiel,Deep blue earrings,Green rabbit ear,Green black phonix eye,Black side swept fringe waves  hair,Viole heart shaped mouth,Deep orange long nose,Red bar head,Violet two wing
Haniel,Green pendant,Orange long ear,Orange narrow eye,White shawls hair,Orange mouth,Orange pointed nose,White shield,Cyan  six wings
Haniel,Light cyan hair clasp,Deep yellow short ear,Yellow brownness black perch blossom eye,Golden short voume hair,Light brownness round mouth,Deep blue short nose,Golden ellipse truncheon,Violet six wings
Verchiel,Violet butterfly head band,Brownness  bar type ear,Yellow orange black round eye,Black the vertical bun hair,Black mouth,Orange short nose,Golden cross,White six wings
Cassiel,Green round earring,Blue cat ear,Deep cyan black lifting eye,Golden shoulder length hair,Red mouth,Black aquiline nose,Cyan white ellipse truncheon,Black  six wings
Cassiel,Green round earring,Deep yellow rabbit ear ,Light orange black willow eye,Green the points bang waves  hair,Deep red round mouth,Black long nose,Red trident,Violet two wing
Manuel,Cyan black cat head band,Deep yellow short ear,Green  black willow eye,Violet shoulder length hair,Violet round mouth,Deep orange short nose,Cyan golden ellipse truncheon ,
Michael,Yellow cyan earrings,Deep yellow long ear,Light orange litchi eye,Cyan side swept fringe waves  hair,Viole heart shaped mouth,Deep red round nose,Cyan yellow ellipse truncheon,Violet two wing
Manuel,Green pendant,Violet short ear,White orange litchi eye ,Green the curly hair,Black rectangle mouth,Pink long nose,Red cross,Violet wing
Gabriel,Blue black earring,Blue pentagon era,Deep red lifting eye,Brownness shoulder length hair,Brownness mouth,Deep blue long nose,Yellow semicircle truncheon,Black  six wings
Zuriel,Yellow pendant,Violet pentagon era,Deep red black willow eye,White the points bang waves  hair,Red mouth,Cyan round nose,White ellipse truncheon,Cyan  six wings
Verchiel,Golden yellow cat head band,Deep red elf ear,Deep black litchi eye,Brownness side swept fringe waves  hair,Light yellow oval mouth,Orange round nose,Golden saint sword,Black  six wings
Michael,Golden long stick,Green rabbit ear,Cyan black lifting eye,Green long hair,Orange mouth,Blue short nose,White ellipse truncheon,Golden two wing
Ambiel,Blue necklace,Light red rabbit ear,Yellow pink black perch blossom eye,Dark red arc bangs wave hair,Yellow mouth,Violet short nose,Cyan white ellipse truncheon,Golden six wings
Asmodel,Light cyan bar necklace,Brownness rabbit ear,Yellow violet black perch blossom eye,Violet braid hair,Orange round mouth,Orange pointed nose,Golden clothing,Violet wing
Malahidiel,Red long stick,Light red pentagon era,Cyan black lifting eye,Golden shoulder length hair,Orange oval mouth,Red round nose,Cyan V necklace,Violet six wings
Verchiel,Yellow green authority,Brownness long ear,Light red black willow eye,White short voume hair,Yellow mouth,Blue short nose,Violet ellipse truncheon,Golden six wings
Felicia,Red helmet,Brownness cat ear,Yellow brownness black round eye,Golden shoulder length hair,Violet mouth,Deep red aquiline nose,Blue preious stone necklace,White six wings
Ambiel,Yellow blue cat head band,Violet long ear,Deep yellow black lifting eye,Green side swept fringe waves  hair,Light yellow oval mouth,Light orange pointed nose,Cyan semicircle truncheon,Violet two wing
Malahidiel,Cyan bar necklace,Green long ear,Deep red lifting eye,Brownness shoulder length hair,Black heart shaped mouth,Deep red long nose,Red preious stone necklace,Violet two wing
Verchiel,Violet butterfly head band,Deep red deer ear,Yellow brownness black round eye,Golden the curly hair,Light yellow heart shaped mouth,Cyan aquiline nose,Red bar head,Cyan two wing
Michael,Yellow cyan earrings,Deep red pentagon era,Light golden black willow eye,Golden long hair,Black heart shaped mouth,Blue aquiline nose,Blue butterfly pattern necklace,Golden four winged
Hamaliel,Yellow black,Cyan short ear,Yellow brownness black round eye,Black braid hair,Pink mouth,Deep orange aquiline nose,Violet ellipse truncheon,Violet two wing
Verchiel,Cyan crown,Violet long ear,Yellow gray black round eye,White shawls hair,Orange mouth,Dark red round nose,Golden ellipse truncheon,Violet six wings
Ambiel,Blue crown,Cyan rabbit ear,Yellow green black round eye,Brownness short voume hair,Brownness mouth,Orange short nose,Cyan butterfly pattern necklace,Golden wing
Michael,Yellow cyan earrings,Light black short ear,Yellow brownness black round eye,Cyan the points bang waves  hair,Violet round mouth,Black pointed nose,Deep cyan ellipse truncheon,Golden wing
Manuel,Pink pendant,Blue cat ear,Blue black phonix eye,Cyan long hair,Violet oval mouth,Light orange round nose,Golden butterfly pattern necklace,
Asmodel,Blue hair clasp,Green pentagon era,Brownness black willow eye,Brownness the points bang waves  hair,Black rectangle mouth,Deep blue short nose,Golden saint sword,Golden two wing
Cassiel,Blue necklace,Cyan deer ear ,Cyan golden black rui cheng eye,Green short voume hair,Light yellow heart shaped mouth,Pink aquiline nose,White shield,
Malahidiel,Blue black,Blue deer ear,Cyan orange lifting eye,Brownness arc bangs wave hair,Red heart shaped mouth,Green round nose,White preious stone necklace,Cyan  six wings
Ambiel,Violet  hair clasp,Orange long ear,Deep orange black phonix eye,Golden long hair,Violet oval mouth,Deep blue short nose,,Violet six wings
Michael,Yellow belt,Brownness deer ear,Cyan gray black perch blossom eye,White shawls hair,Black rectangle mouth,Dark brownness round nose,Red shield,White six wings
Adnachiel,Deep blue earrings,Blue triangle ear,Light orange black willow eye,Green shoulder length hair,Black oval mouth,Pink long nose,Cyan triangle necklace,
Felicia,Yellow black earring,Blue short ear,Light orange black phonix eye,Dark red shawls hair,Orange oval mouth,Blue aquiline nose,Golden V necklace,
Haniel,Light cyan hair clasp,Green pentagon era,Green black long and thin eye,Cyan shawls hair,Deep red round mouth,Pink long nose,Blue saint sword,
Haniel,Blue round earring,Light red  cat ear,Orange narrow eye,Violet points in the temples hair,Black heart shaped mouth,Deep blue long nose,Cyan trident,Golden two wing
Manuel,Yellow blue cat head band,Violet elf ear,Yellow cyan  black perch blossom eye,Cyan waves hair,Viole heart shaped mouth,Black round nose,White semicircle truncheon,White four winged
Danae,Violet butterfly head band,Orange deer ear,Green black phonix eye,White short voume hair,Black heart shaped mouth,Deep orange long nose,Blue butterfly pattern necklace,Violet wing
Danae,Violet bar necklace,Deep yellow short ear,Yellow orange litchi eye,Green arc bangs wave hair,Orange heart shaped mouth,Deep blue aquiline nose,Blue saint sword,White six wings
Hamaliel,Green butterfly head band,Deep yellow long ear,Yellow cyan  black perch blossom eye,Violet braid hair,Black round mouth,Orange short nose,Cyan semicircle truncheon,Cyan two wing
Danae,Golden wing cloak,Brownness pentagon era,Yellow orang lifting eye,Golden shoulder length hair,Violet mouth,Blue pointed nose,Cyan saint sword,Golden wing
Gabriel,Yellow cyan earrings,Cyan triangle ear,Yellow orange black round eye,Green shoulder length hair,Brownness mouth,Orange round nose,,Golden wing
Barbiel,Violet  hair clasp,Cyan long ear,Yellow green black round eye,Golden waves hair,Light brownness round mouth,Deep red short nose,Golden bar head,White six wings
Malahidiel,White helmet,Light black pentagon era,Yellow brownness black perch blossom eye,Golden braid hair,Violet round mouth,Red short nose,White spear,Golden two wing
Michael,White cyan authority,Deep yellow deer ear,Orange black willow eye,White short voume hair,Violet mouth,Deep orange short nose,Blue saint sword,Violet wing
Manuel,Pink necklace,Light black elf ear,Cyan black litchi eye,Dark red short voume hair,Viole heart shaped mouth,Violet pointed nose,White preious stone necklace,White six wings
Zuriel,Violet butterfly head band,Deep yellow cat ear,Cyan brownness black perch blossom eye,Black waves hair,Light yellow oval mouth,Deep orange aquiline nose,Red shield,White wing
Asmodel,Golden butterfly head band,Violet long ear,Blue black phonix eye,Black points in the temples hair,Viole heart shaped mouth,Black pointed nose,Cyan V necklace,Cyan two wing
Haniel,White violet cat head band,Brownness long ear,Yellow cyan  black perch blossom eye,Dark red the curly hair,Brownness mouth,Red long nose,Red spear,Black  six wings
Adnachiel,Cyan long stick,Cyan deer ear ,Green black phonix eye,Dark red braid hair,Deep red round mouth,Blue pointed nose,Red saint sword,Black  six wings
Asmodel,Cyan necklace,Light red short ear,Cyan brownness black perch blossom eye,White braid hair,Orange mouth,Red long nose,Red trident,Violet two wing
Asmodel,Cyan necklace,Light red short ear,Yellow golden black perch blossom eye,Violet side swept fringe waves  hair,Black round mouth,Deep red round nose,White spear,
Barbiel,Violet butterfly head band,Light red long ear,Yellow orange litchi eye,Cyan waves hair,Black heart shaped mouth,Deep orange short nose,Blue bar head,
Malahidiel,Cyan black cat head band,Light black cat ear,Light red black phonix eye,Golden waves hair,Deep red oval mouth,Orange short nose,Red dress cross necklace,White wing
Haniel,Cyan black cat head band,Orange deer ear,Yellow orange black round eye,Violet side swept fringe waves  hair,Deep red oval mouth,Black round nose,Blue clothing,Violet four winged
Felicia,Deep green earrings,Deep red long ear,Gray black willow eye,Black braid hair,Yellow mouth,Red short nose,White trident,Golden two wing
Michael,White cyan authority,Deep red deer ear,Cyan black long and thin eye,Dark red arc bangs wave hair,Viole heart shaped mouth,Violet pointed nose,White bar head,
Danae,Green pendant,Cyan short ear,Deep red lifting eye,Dark red short voume hair,Black heart shaped mouth,Blue aquiline nose,White preious stone necklace,Golden four winged
Cassiel,Blue earrings,Light red long ear,Yellow gray black round eye,Brownness side swept fringe waves  hair,Orange round mouth,Blue short nose,Blue saint sword,Violet two wing
Hamaliel,Green earrings,Green deer ear,Cyan black lifting eye,Brownness the points bang waves  hair,Light brownness round mouth,Deep blue long nose,Golden spear,Golden four winged
Gabriel,White cyan authority,Blue short ear,Cyan black phonix eye,Violet the curly hair,Black rectangle mouth,Violet short nose,Golden ellipse truncheon,White four winged
Manuel,Green pendant,Violet pentagon era,Cyan golden black rui cheng eye,Black side swept fringe waves  hair,Violet round mouth,Orange pointed nose,Cyan white ellipse truncheon,Cyan four winged
Michael,Green earrings,Green short ear,Deep brownness black round eye,Black points in the temples hair,Violet round mouth,Orange round nose,Red dress cross necklace,
Asmodel,Light cyan wing cloak,Green deer ear,Green black long and thin eye,Brownness the curly hair,Red heart shaped mouth,Red long nose,Golden bar head,Cyan four winged
Malahidiel,Golden yellow cat head band,Cyan triangle ear,Green  black willow eye,Brownness braid hair,Brownness round mouth,Green pointed nose,Golden dress cross necklace,White four winged
Felicia,Yellow black earring,Deep yellow  bar type ear,Light cyan orange black rui cheng eye,Violet arc bangs wave hair,Brownness mouth,Red aquiline nose,Deep cyan ellipse truncheon,
Ambiel,Blue necklace,Light red  cat ear,Yellow green black perch blossom eye,Cyan the curly hair,Orange mouth,Pink short nose,Blue shield,Violet two wing
Asmodel,Cyan round earring,Orange rabbit ear,Orange black willow eye,Dark red the vertical bun hair,Orange heart shaped mouth,Blue long nose,Cyan spear,White wing
Asmodel,Cyan bar necklace,Violet long ear,Yellow cyan  black perch blossom eye,Brownness arc bangs wave hair,Black heart shaped mouth,Violet short nose,Golden saint sword,
Hamaliel,Golden crown,Violet short ear,Light cyan orange black rui cheng eye,Brownness braid hair,Orange mouth,Light red round nose,Cyan ellipse truncheon,White two wing
Verchiel,Violet butterfly head band,Deep red deer ear,Light red black lifting eye,Black arc bangs wave hair,Deep red rectangle mouth,Dark brownness round nose,Cyan triangle necklace,Cyan four winged
Verchiel,Violet bar necklace,Green deer ear,Yellow orange black round eye,Cyan shoulder length hair,Viole heart shaped mouth,Light orange round nose,White spear,Golden wing
Asmodel,Cyan bar necklace,Blue triangle ear,Yellow cyan  black perch blossom eye,Dark red side swept fringe waves  hair,Pink mouth,Light orange round nose,White shield,Golden wing
Ambiel,White green cat head band,Deep yellow long ear,Green  black willow eye,Golden shawls hair,Violet mouth,Black long nose,Blue saint sword,Golden wing
Felicia,Blue long stick,Green cat ear,Light cyan orange black rui cheng eye,Dark red side swept fringe waves  hair,Brownness mouth,Green pointed nose,Cyan ellipse truncheon,Violet six wings
Asmodel,Golden yellow cat head band,Green short ear,Deep yellow black lifting eye,Brownness the vertical bun hair,Violet round mouth,Green round nose,White preious stone necklace,Black  six wings
Zuriel,Pink necklace,Orange long ear,Light red black lifting eye,Black arc bangs wave hair,Pink mouth,Cyan short nose,Violet ellipse truncheon,Cyan wing
Asmodel,Blue cloak,Light red deer ear ,Cyan orange lifting eye,White points in the temples hair,Light brownness round mouth,Deep red aquiline nose,Red shield,White wing
Ambiel,Yellow blue cat head band,Light black  bar type ear,Cyan blue black rui cheng eye,Golden the points bang waves  hair,Black rectangle mouth,Black short nose,White spear,Violet two wing
Hamaliel,Pink green earrings,Violet short ear,Light red black lifting eye,Black shawls hair,Brownness round mouth,Light red  pointed nose,Cyan white ellipse truncheon,
Ambiel,Blue crown,Light red triangle ear,Cyan black lifting eye,Cyan shoulder length hair,Deep red round mouth,Deep orange pointed nose,Cyan clothing,White wing
Asmodel,Blue bar necklace,Deep yellow  bar type ear,Cyan golden black rui cheng eye,White arc bangs wave hair,Violet round mouth,Light red  pointed nose,Yellow semicircle truncheon,Violet wing
Danae,Yellow necklace,Deep yellow cat ear,Orange black willow eye,Black waves hair,Brownness mouth,Blue round nose,Red saint sword,Golden six wings
Adnachiel,Violet black,Violet bar type ear,White orange litchi eye ,Brownness side swept fringe waves  hair,Pink mouth,Deep orange pointed nose,Golden ellipse truncheon,White six wings
Danae,Yellow pendant,Light red  bar type ear,Cyan brownness black rui cheng eye,Golden shawls hair,Brownness round mouth,Violet long nose,Cyan violet ellipse truncheon,Cyan two wing
Gabriel,Yellow helmet,Brownness cat ear,Cyan red black perch blossom eye,Violet shawls hair,Black heart shaped mouth,Black aquiline nose,Blue dress cross necklace,Violet two wing
Verchiel,Blue wing cloak,Orange bar type ear,Deep red lifting eye,Dark red shawls hair,Deep red heart shaped mouth,Deep red aquiline nose,Cyan shield,White six wings
Malahidiel,Violet  hair clasp,Orange triangle ear,Cyan orange litchi eye,Black waves hair,Viole heart shaped mouth,Blue short nose,White clothing,Violet wing
Asmodel,Blue bar necklace,Deep red rabbit ear,Cyan black phonix eye,Dark red the points bang waves  hair,Orange mouth,Deep blue short nose,Cyan semicircle truncheon,Violet six wings
Barbiel,Violet butterfly head band,Light red long ear,Orange black phonix eye,Violet shawls hair,Deep red round mouth,Deep orange long nose,Cyan butterfly pattern necklace,Golden wing
Barbiel,Cyan  hair clasp,Cyan short ear,Yellow orange black perch blossom eye,Green braid hair,Violet round mouth,Red pointed nose,Golden shield,
Felicia,Cyan crown,Deep red deer ear,Cyan red black rui cheng eye,Cyan arc bangs wave hair,Deep red oval mouth,Light brownness round nose,Yellow ellipse truncheon,
Felicia,Deep green earrings,Light red rabbit ear,Yellow red black perch blossom eye,Cyan braid hair,Red heart shaped mouth,Deep blue long nose,Cyan white ellipse truncheon,
Verchiel,Golden yellow cat head band,Violet long ear,Gray black willow eye,Cyan shoulder length hair,Black round mouth,Dark red round nose,Red preious stone necklace,Golden two wing
Gabriel,White violet cat head band,Cyan long ear,Cyan gray black perch blossom eye,Black shawls hair,Deep red rectangle mouth,Deep orange aquiline nose,Yellow ellipse truncheon,White six wings
Manuel,Yellow belt,Orange long ear,Cyan black litchi eye,Brownness arc bangs wave hair,Black round mouth,Black short nose,White bar head,Cyan two wing
Felicia,Yellow black earring,Brownness deer ear,Cyan black litchi eye,Brownness the points bang waves  hair,Deep red oval mouth,Cyan aquiline nose,Yellow ellipse truncheon,White six wings
