type,       attribute1,   attribute2,"	attribute3","	attribute4","	attribute5"
Aurora,Violet round glasses,Cyan black eye&long eyebrow,Orange long hair,Orange triangle small Mouth,Gray rhomboid wing
Hummingbird,Orange black polygon Hat,Black eye&pink eyebrow,Blue long hair,Orange long Mouth,Red trapeziod wing 
Thrush,Yellow Hat,Black eye&round black eyebrow,Pink short hair,Deep Blue triangle Mouth,Iridescence wing
Bullfinch,Dark blue  square glasses,Black eye&yellow eyebrow,Yellow Curly,Orange quadrangle Mouth,Violet tooth profine wing
Turkey,Red black pentagon glasses,Small black eye&black long eyebrow,Green braid,Blue Naroon,Yellow tooth profine wing
Wild Goose,Pink red round Hat,Cambridge blue eye&pink eyebrow,Pink Curly,Blue Naroon,White sector wing
Wild Goose,Black white necklace,Black cyan eye&long eyebrow,Red short hair,Pale yellow triangle  Mouth,Red rhomboid wing
Seagull,Orange yellow Hat,Small black eye&orange  eyebrow,Yellow Curly,Golden polygon Mouth,Dark red wing 
Penguin,Black flat Hat,Blue black eye&long eyebrow,Light cyan shorthair,Blue small Mouth,Dark blue cyan wing
Vulture,Pink triangle Hat,White eye&Black eyebrow,Pink broken,Red triangle Mouth,Colours wing 
Swan,Blue round glasses,Small black eye&long eyebrow,Pink long hair,Golden square Mouth,Dark red wing 
Magpie,Violet black  Hat,Light cyan eye&orange eyebrow,Yellow braid,Golden big Mouth,Dark Colours wing
Wild Goose,Blue trapezoid  Hat,Red eye&black eyebrow,Cyan Curly,Gray big Mouth,Violet rhomboid wing
Crow,Cambridge blue square glasses,Small black eye&long eyebrow,Red Curly,Black bluw long Mouth,Red sector wing
Thrush,Black white Hat,Black eye&long eyebrow,Orange middle parting,Orange triangle big Mouth,Yellow agree trapeziod wing
Turkey,Grey violet pentagon glasses,Pink black eye&long eyebrow,Red Curly,Black Mouth,Dark blue  wing 
Crow,Dark blue headset,Blue black eye&long eyebrow,Golden airplane,Blue black Mouth,Black rhomboid wing
Chick,Black flat Hat,Black eye&round black eyebrow,Pink Curly,Light orange Mouth, Dark violet front shape wing
Swan,Orange square glasses,Black eye&rectangle eyebrow,Black broken,Black red long Mouth,Red rhomboid wing
Chick,Dark blue gray polygon Hat,Black eye&round eyebrow,Orange middle parting,Golden Mouth,Yellow trapeziod wing 
Crow,Orange Violet square glasses,White eye&black long eyebrow,Pink middle parting,Orange polygon  Mouth,Dark black wing 
Swallow,Dark blue rectangle glasses,Black red eye&A round eyebrow,Pink Curly,Black long Mouth,Gray trapeziod wing 
Pigeon,Dark blue rectangle glasses,Black eye&jet black eyebrow,Blue broken,Deep Golden triangle Mouth,Colours tooth profine wing
Chick,Black flat Hat,Black eye&round black eyebrow,Green crown,Black orange small Mouth,Red wing
Magpie,Deep blue Hat,Black eye&round eyebrow,Pink short hair,Deep Blue triangle Mouth,Red trapeziod wing 
Magpie,Violet black  Hat,Black eye&round eyebrow,Red short hair,Black yellow long Mouth,Dark blue  wing 
Hummingbird,orange perked cap,Small black eye&orange  eyebrow,Black short hair,Orange small Mouth,Black trapeziod wing  
Ostrich,Orange yellow round glasses,Small black eye&red long eyebrow,Black long hair,Black triangle small Mouth,Orange white sector wing
Magpie,Orange yellow round glasses,Big black eye&black long eyebrow,Cyan punk,Orange Mouth,Dark blue  wing 
Pigeon,Orange yellow Hat,White eye&Black eyebrow,Cyan Curly,Red short Mouth,Dark black wing 
Swan,Dark blue gray polygon Hat,Cyan eye&dark red eyebrow,Yellow braid,Golden polygon Mouth,Yellow rhomboid wing
Hummingbird,Orange black  Hat,Cambridge blue eye&black long eyebrow,Red hairdo,Orange quadrangle Mouth,Cyan  tooth profine wing
Bullfinch,Orange black square Hat,Cyan black eye&long eyebrow,Green braid,Golden triangle Mouth,Red front shape wing 
Penguin,Dark orange necklace,Orange eye& eyCambridge blue eyebrow,Orange middle parting,Light blue short Mouth,Dark blue  wing 
Thrush,Black brow hat,Light cyan eye&orange eyebrow,Green braid,Orange triangle big Mouth,Agree rhomboid wing
Wild Goose,Deep blue polygon Hat,Black eye&long black eyebrow,Pink long hair,Get black triangle Mouth,Gray rhomboid wing
Thrush,Blue triangle Hat,Black eye&long black eyebrow,Light cyan shorthair,Black orange long Mouth,Blue trapeziod wing 
Pelican,Blue trapezoid  Hat,Black eye&orange long eyebrow,Red airplane,Deep Golden triangle Mouth,Orange yellow wing
Swallow,Black Hat,Blue eye&blue eyebrows,Yellow braid,Pale gold Palegreen,Blue trapeziod wing 
Crow,Cambridge blue square glasses,Black eye&round eyebrow,Red punk,Orange square Mouth,Dark Colours wing
Pelican,Black pink Hat,Black eye&long black eyebrow,Black long hair,Light yellow short Mouth,Orange rhomboid wing
Magpie,Dark black round Hat,Black eye&rectangle eyebrow,Light cyan shorthair,Deep orange triangle  Mouth,Gray rhomboid wing
Vulture,Pink triangle Hat,Black eye&pink eyebrow,Black long hair,Golden triangle Mouth,Dark cyan wing 
Pigeon,Pink triangle Hat,Orange eye& eyCambridge blue eyebrow,Pink broken,Red triangle Mouth,Cyan trapeziod wing 
Vulture,Grey violet pentagon glasses,Black purple eye&long eyebrow,Above color crown,Golden triangle small Mouth,Colours front shape wing
Bullfinch,Orange black square Hat,Black eye&jet black eyebrow,Black middle parting,Pale yellow triangle  Mouth,Cyan yellow sector wing
Thrush,Blue triangle Hat,Small black eye&orange  eyebrow,Cyan short hair,Golden triangle small Mouth,Yellow trapeziod wing 
Frigate Bird,Black triangle glasses,Cyan black eye&long eyebrow,Green crown,Light orange Mouth,Agree sector wing
Turkey,Violet black  Hat,Black eye&round eyebrow,Pink Curly,Pale gold Palegreen,Colours wing 
Duck,Blue triangle Hat,Cambridge blue eye&pink eyebrow,Orange short hair,Black red long Mouth,Blue tooth profine wing
Wild Goose,Red black pentagon glasses,Black eye&rectangle eyebrow,Pink Curly,Deep yellow triangle  Mouth,Agree wing
Duck,Brow hat,Black eye&long black eyebrow,Yellow braid,Red short Mouth,Violetv wing
Magpie,Orange yellow round glasses,Cyan eye&dark red eyebrow,Blue long hair,Orange triangle big Mouth,Orange trapeziod wing 
Wild Goose,Red round glasses,Black eye&deep orange eyebrow,Green crown,Golden polygon Mouth,Dark Colours wing
Wild Goose,Blue black pentagon glasses,White eye&black long eyebrow,Deep red Curly,Deep Golden triangle Mouth,Orange rhomboid wing
Thrush,Red black round glasses,Black eye&long black eyebrow,Yellow braid,Shallow black triangle Mouth, Dark violet front shape wing
Pelican,Orange yellow Hat,Black eye&Black eyebrow,Orange hairdo,Gray Mouth,Violetv wing
Frigate Bird,Deep blue trapezoid Hat,Black eye&round eyebrow,Black short hair,Orange quadrangle Mouth,Orange triangle  wing
Swan,Blue round glasses,Cambridge blue eye&black long eyebrow,Cyan Curly,Blue Naroon,Yellow tooth profine wing
Thrush,Black brow hat,Black eye&orange long eyebrow,Red Curly,Orange square Mouth,Dark blue  wing 
Penguin,Pink headset,Light cyan eye&orange eyebrow,Yellow braid,Light yellow short Mouth,Blue  triangle  wing
Seagull,Black Hat,Black eye&orange long eyebrow,Cyan Curly,Golden big Mouth,Black rhomboid wing
Duck,Pink square glasses,Black eye&round eyebrow,Black red hair,Orange square Mouth,Gray rhomboid wing
Seagull,Dark blue round Hat,Black eye&round eyebrow,Pink Curly,Orange short Mouth,Yellow agree trapeziod wing
Seagull,Orange yellow Hat,Black cyan eye&long eyebrow,Black short hair,Orange polygon  Mouth,Colours trapeziod wing 
Swallow,Deep blue mesh cap,Cyan eye&dark red eyebrow,Black long hair,Orange small Mouth,Red rhomboid wing
Petrel,Pink  trapezoid  Hat,Black eye&deep orange eyebrow,Black red hair,Deep orange triangle  Mouth,Gray trapeziod wing 
Frigate Bird,Pink  trapezoid  Hat,White eye&black long eyebrow,Pink broken,Deep orange triangle  Mouth,Gray rhomboid wing
Petrel,Yellow flat Hat,Small black eye&red long eyebrow,Light cyan hair,Pale red Mouth,Yellow trapeziod wing 
Thrush,Red black triangle glasses,Black red eye&A round eyebrow,Red hairdo,Light orange short Mouth,Blue  triangle  wing
Seagull,Black Hat,Small black eye&red long eyebrow,Cyan Curly,Light yellow short Mouth,Colours tooth profine wing
Woodpecker,Blue black triangle glasses,Black purple eye&long eyebrow,Orange long hair,Orange small Mouth,Iridescence wing
Chick,Dark black triangle glasses,Black eye&pink eyebrow,Red airplane,Deep yellow triangle  Mouth,Blue front shape wing 
Hornbill,Dark black round Hat,Black eye&round black eyebrow,Black long hair,Red short Mouth,Red trapeziod wing 
Ostrich,Black rectangle glasses,Black whiteeye&round eyebrow,Pink Curly,Dark blue triangle Mouth,Yellow trapeziod wing 
Duck,Blue flat Hat,Black eye&round eyebrow,Red short hair,Orange triangle big Mouth,Yellow agree front shape wing 
Pelican,orange perked cap,Black eye&long pink eyebrow,Green crown,Gray triangle Mouth,Cyan  tooth profine wing
Swallow,Light cyan necklace,Black eye&yellow eyebrow,Blue punk,Blue triangle  Mouth,Colours wing 
Bullfinch,Orange black square Hat,Black eye&round eyebrow,Red short hair,Light orange short Mouth,Orange rhomboid wing
Hummingbird,Red round glasses,Cambridge blue eye&pink eyebrow,Plae yellow braid,Golden polygon Mouth,Blue trapeziod wing 
Magpie,Blue black triangle glasses,Black eye&deep orange eyebrow,Blue broken,Yellow long Mouth,Red wing
Turkey,Deep blue trapezoid Hat,Small black eye&orange round eyebrow,Cyan short hair,Red short Mouth,Yellow trapeziod wing 
Ostrich,Deep blue mesh cap,Orange eye& eyCambridge blue eyebrow,Light cyan hair,Orange triangle small Mouth,Black trapeziod wing  
Woodpecker,White square glasses,Black eye&deep orange eyebrow,Black broken,Orange polygon  Mouth,Yellow agree front shape wing 
Seagull,Black orange necklace,Black eye&Black eyebrow,Green crown,Pale gold Palegreen,Light cyan front shape wing
Bullfinch,Orange black white round Hat,Small black eye&orange round eyebrow,Blue hairdo,Black pink Mouth,Pink wing 
Duck,Blue flat Hat,Black eye&deep orange eyebrow,Red punk,Black yellow Mouth,Red sector wing
Chick,Somber triangle glasses,Light cyan eye&orange eyebrow,Red airplane,Red triangle small Mouth,Pink  violet sector wing
Hummingbird,Dark blue gray polygon Hat,Black eye&rectangle eyebrow,Red yellow crown,Orange short Mouth,Dark blue  wing 
Thrush,Black white Hat,Black eye&pink eyebrow,Orange hairdo,Blue Naroon,Yellow tooth profine wing
Swan,Deep gray  round Hat,Black red eye&A round eyebrow,Above color crown,Golden big Mouth,Iridescence wing
Swan,Pink red round Hat,Black red eye&A round eyebrow,Orange hairdo,Pale red Mouth,Pink  violet sector wing
Ostrich,Orange black  Hat,Red eye&black eyebrow,Green braid,Black orange black Mouth,Yellow agree front shape wing 
Petrel,Black white Hat,Cyan eye&dark red eyebrow,Green braid,Black long Mouth,Grey violet sector wing
Pigeon,Black necklace,Black cyan eye&long eyebrow,Blue punk,Golden small Mouth,Violet tooth profine wing
Swallow,Pink necklace,White eye&Black eyebrow,Red airplane,Black yellow Mouth,Agree sector wing
Penguin,Pink headset,Small black eye&long eyebrow,Orange long hair,Orange quadrangle Mouth,Red rhomboid wing
Thrush,Black white Hat,Big black eye&orange eyebrow,Red hairdo,Black Mouth,Yellow agree front shape wing 
Woodpecker,Black triangle glasses,Small black eye&orange round eyebrow,Green crown,Dark blue triangle Mouth,Red trapeziod wing 
Petrel,Yellow flat Hat,Black white eye&long eyebrow,Pink middle parting,Blue Naroon,Dark Colours wing
Seagull,Black Hat,Light cyan eye&pink eyebrow,Red Curly,Black red long Mouth,Colours front shape wing
Duck,White square glasses,Big black eye&black long eyebrow,Cyan short hair,Yellow long Mouth,Red trapeziod wing 
Hummingbird,Red round glasses,Small black eye&long eyebrow,Red yellow crown,Orange short Mouth,White black rhomboid wing
Duck,White square glasses,Black eye&long eyebrow,Yellow Curly,Dark blue triangle Mouth,Colours wing 
Ostrich,Orange yellow round Hat,Cambridge blue eye&black long eyebrow,Pink Curly,Gray triangle Mouth,Blue cyan wing
Chick,Black flat Hat,Light cyan eye&orange eyebrow,Red Curly,Golden quadrangle  Mouth,Violet tooth profine wing
Woodpecker,Deep blue trapezoid Hat,Big black eye&black long eyebrow,Golden airplane,Black orange black Mouth,Pink wing 
Swallow,Dark blue rectangle glasses,Light cyan eye&pink eyebrow,Orange hairdo,Golden Mouth,Blue trapeziod wing 
Pigeon,Pink triangle Hat,Orange eye& eyCambridge blue eyebrow,Light cyan hair,Light yellow short Mouth,White black rhomboid wing
Hornbill,Orange headset,Orange eye& eyCambridge blue eyebrow,Black long hair,Black long Mouth,Khaki front shape wing
Seagull,Dark blue round Hat,Small black eye&red long eyebrow,Light cyan shorthair,Orange long Mouth,Dark red wing 
Turkey,Grey violet pentagon glasses,Cyan eye&dark red eyebrow,Blue short hair,Get black triangle Mouth,Blue rhomboid wing
Petrel,Black pink Hat,Black cyan eye&long eyebrow,Light cyan hair,Red triangle small Mouth,Light cyan front shape wing
Swallow,Orange black polygon Hat,Small black eye&orange  eyebrow,Blue Curly,Gray Mouth,Orange trapeziod wing 
Woodpecker,Black triangle glasses,Pink black eye&long eyebrow,Blue punk,Orange Mouth, Dark violet front shape wing
Ostrich,Orange black round Hat,Black eye&deep orange eyebrow,Red Curly,Orange triangle big Mouth,Agree rhomboid wing
Zebra Finch,Black triangle glasses,Black eye&long eyebrow,Cyan punk,Black yellow long Mouth,Agree rhomboid wing
Wild Goose,Deep blue polygon Hat,Small black eye&red long eyebrow,Red short hair,Blue small Mouth,Violet tooth profine wing
Zebra Finch,Orange yellow round Hat,Black white eye&long eyebrow,Orange long hair,Yellow long Mouth,Agree rhomboid wing
Swan,Dark blue gray polygon Hat,Cyan eye&dark red eyebrow,Black red hair,Orange square Mouth,Colours wing 
Thrush,Yellow Hat,Black eye&Black eyebrow,Pink broken,Golden triangle small Mouth,Yellow tooth profine wing
Penguin,Orange round Hat,Black purple eye&long eyebrow,Blue short hair,Shallow black triangle Mouth,Pink  violet sector wing
Thrush,Yellow Hat,Black eye&deep orange eyebrow,Black short hair,Black orange small Mouth,Yellow agree front shape wing 
Thrush,Black necklace,Black eye&pink eyebrow,Yellow braid,Orange Mouth,White black rhomboid wing
Bullfinch,Agree black quadrangle Hat,Light cyan eye&pink eyebrow,Above color crown,Black triangle small Mouth,Iridescence wing
Oriole,Yellow Hat,White eye&Black eyebrow,Golden airplane,Black orange long Mouth,Blue trapeziod wing 
Swan,Deep blue mesh cap,Cyan eye&dark red eyebrow,Black long hair,Black bluw long Mouth,Yellow tooth profine wing
Crow,Cambridge blue square glasses,Black red eye&A round eyebrow,Orange middle parting,Golden polygon Mouth,Yellow agree front shape wing 
Zebra Finch,Black triangle glasses,White eye&black long eyebrow,Green crown,Golden triangle small Mouth,Yellow tooth profine wing
Bullfinch,Dark blue  square glasses,Black eye&round black eyebrow,Orange short hair,Red short Mouth,Yellow agree trapeziod wing
Crow,Deep blue polygon Hat,Black cyan eye&long eyebrow,Green braid,Pale red Mouth,Pink wing 
Hummingbird,Green Hat,Black cyan eye&long eyebrow,Pink long hair,Deep Blue triangle Mouth,Cyan yellow sector wing
Magpie,Blue black round glasses,Small black eye&orange  eyebrow,Cyan Curly,Red triangle Mouth,Cyan trapeziod wing 
Crow,Dark red black glasses,Pink black eye&long eyebrow,Pink long hair,Yellow long Mouth,Orange triangle  wing
Duck,Orange round glasses,Black eye&round black eyebrow,Pink short hair,Black yellow long Mouth,Pink  violet sector wing
Swallow,Orange black polygon Hat,Big black eye&long eyebrow,Orange hairdo,Deep Gray triangle Mouth,Agree trapeziod wing  
Petrel,Orange square glasses,Light cyan eye&orange eyebrow,Black long hair,Orange polygon  Mouth,Colours trapeziod wing 
Petrel,Deep yellow arch Hat,Pink black eye&long eyebrow,Plae yellow braid,Deep Blue triangle Mouth,Blue front shape wing 
Duck,Blue triangle Hat,Orange eye& eyCambridge blue eyebrow,Red airplane,Black red long Mouth,White sector wing
Woodpecker,Orange square glasses,Light cyan eye&orange eyebrow,Orange short hair,Pale red Mouth,Dark cyan wing 
Seagull,Dark blue round Hat,Blue eye&blue eyebrows,Pink middle parting,Red triangle small Mouth,Agree rhomboid wing
Woodpecker,Pink  trapezoid  Hat,Black eye&pink eyebrow,Black yellow hair,Black yellow Mouth,Red front shape wing 
Seagull,Black orange necklace,Black eye&Black eyebrow,Blue long hair,Light orange short Mouth,Agree sector wing
Oriole,Red black triangle glasses,black orange eye&long eyebrow,Pink long hair,Pale yellow triangle  Mouth,Red sector wing
Petrel,White square glasses,Light cyan eye&pink eyebrow,Yellow Curly,Pale gold Palegreen,Agree wing
Zebra Finch,Dark black pentagon glasses,Small black eye&black long eyebrow,Orange short hair,Black yellow Mouth,Red trapeziod wing 
Vulture,Orange black polygon Hat,Cambridge blue eye&black long eyebrow,Red airplane,Black bluw long Mouth,Yellow trapeziod wing 
Chick,Somber triangle glasses,Black eye&long black eyebrow,Plae yellow braid,Orange Mouth,Light cyan front shape wing
Swallow,Deep blue mesh cap,Black eye&pink eyebrow,Black short hair,Red triangle small Mouth,Black rhomboid wing
Seagull,Deep blue polygon Hat,Big black eye&long eyebrow,Black short hair,Black yellow Mouth,Gray rhomboid wing
Magpie,Dark blue headset,Cyan eye&dark red eyebrow,Red hairdo,Orange polygon  Mouth,Violetv wing
Petrel,Yellow flat Hat,Big black eye&long eyebrow,Red punk,Golden triangle small Mouth,Red wing
Hornbill,Violet round glasses,White eye&black long eyebrow,Red Curly,Orange triangle Mouth,Colours wing 
Pelican,Orange yellow Hat,Big black eye&black long eyebrow,Black red hair,Deep orange triangle  Mouth,White gray wing
Hornbill,Blue trapezoid  Hat,Cambridge blue eye&pink eyebrow,Black short hair,Orange polygon  Mouth,Yellow tooth profine wing
Pelican,Blue trapezoid  Hat,Light cyan  eye&orange long eyebrow,Golden airplane,Gray Mouth,Violet trapeziod wing 
Seagull,Deep blue polygon Hat,Black eye&orange long eyebrow,Red airplane,Deep orange triangle  Mouth,Light cyan front shape wing
Pelican,Black pink Hat,Black eye&long black eyebrow,Black long hair,Light orange Mouth,Violet rhomboid wing
Woodpecker,Blue black triangle glasses,Black eye&round black eyebrow,Yellow Curly,Red triangle Mouth,Violet rhomboid wing
Zebra Finch,Black triangle glasses,Light cyan  eye&orange long eyebrow,Black middle parting,Orange long Mouth,Agree trapeziod wing  
Hornbill,Orange headset,Blue eye&blue eyebrows,Pink middle parting,Yellow long Mouth,Red trapeziod wing 
Pigeon,Gray black Hat,Blue eye&blue eyebrows,Golden airplane,Gray triangle Mouth,Dark blue  wing 
Pelican,Black white square glasses,Orange eye& eyCambridge blue eyebrow,Yellow Curly,Black orange long Mouth,Red trapeziod wing 
Seagull,Black Hat,Small black eye&red long eyebrow,Blue punk,Deep Orange square Mouth,Blue trapeziod wing 
Wild Goose,Black brow hat,Black eye&Black eyebrow,Blue Curly,Orange small Mouth,Dark red wing 
Bullfinch,Red black triangle glasses,Black cyan eye&long eyebrow,Orange middle parting,Shallow black triangle Mouth,Dark blue cyan wing
Pelican,Black white square glasses,Black eye&orange eyebrow,Red punk,Shallow black triangle Mouth,Orange trapeziod wing 
Turkey,Violet black  Hat,Black eye&long pink eyebrow,Red hairdo,Blue Naroon,Gray trapeziod wing 
Vulture,Black orange necklace,Black cyan eye&long eyebrow,Pink broken,Golden big Mouth,Orange trapeziod wing 
Swallow,Deep blue mesh cap,Black eye&pink eyebrow,Orange short hair,Golden triangle Mouth,Dark red wing 
Chick,Orange black square Hat,Black eye&yellow eyebrow,Pink broken,Pale red Mouth,Blue tooth profine wing
Wild Goose,Blue trapezoid  Hat,Cyan eye&dark red eyebrow,Orange short hair,Black long Mouth,Dark black wing 
Seagull,Deep blue polygon Hat,Black cyan eye&long eyebrow,Yellow Curly,Blue Naroon,Agree sector wing
Swallow,Black Hat,Black eye&round black eyebrow,Blue punk,Black yellow long Mouth,Dark Colours wing
Crow,Deep blue polygon Hat,Black white eye&long eyebrow,Blue long hair,Gray big Mouth,Yellow trapeziod wing 
Swallow,Black Hat,Small black eye&black long eyebrow,Cyan punk,Orange triangle small Mouth,Blue front shape wing 
Oriole,Deep blue polygon Hat,Big black eye&long eyebrow,Light cyan hair,Gray big Mouth,Agree trapeziod wing  
Bullfinch,Orange black white round Hat,Black white eye&long eyebrow,Light cyan hair,Depp red triangle Mouth,Pink wing 
Hummingbird,Deep gray  round Hat,Light cyan eye&pink eyebrow,Orange middle parting,Orange short Mouth,Red front shape wing 
Swan,Dark blue gray polygon Hat,Cyan eye&dark red eyebrow,Black red hair,Black long Mouth,Red trapeziod wing 
Woodpecker,Black triangle glasses,Black eye&yellow eyebrow,Cyan short hair,Dark blue triangle Mouth,Violetv wing
Magpie,Blue black round glasses,Blue black eye&long eyebrow,Orange short hair,Black pink Mouth,Cyan trapeziod wing 
Hornbill,Violet round glasses,Big black eye&black long eyebrow,Black middle parting,Orange short Mouth,White sector wing
Penguin,Black flat Hat,black orange eye&long eyebrow,Cyan Curly,Orange triangle Mouth,Violet front shape wing
Magpie,Dark black round Hat,Black eye&orange eyebrow,Pink short hair,Golden polygon Mouth,Red wing
Pelican,Black pink Hat,Light cyan eye&orange eyebrow,Plae yellow braid,Black bluw long Mouth,Red rhomboid wing
Swallow,Yellow quadrangle Hat,Cyan black eye&long eyebrow,Red airplane,Orange polygon  Mouth,Red trapeziod wing 
Pigeon,Violet red polygon Hat,Jet black eye&long eyebrow,Red Curly,Black pink Mouth,Blue  triangle  wing
Vulture,Pink triangle Hat,Black whiteeye&round eyebrow,Cyan punk,Red triangle small Mouth,Pink  violet sector wing
Crow,Brow hat,Black white eye&long eyebrow,Red Curly,Pale red Mouth,Khaki front shape wing
Vulture,Grey violet pentagon glasses,Black eye&long black eyebrow,Red yellow crown,Orange long Mouth,Yellow trapeziod wing 
Crow,Blue black round glasses,black orange eye&long eyebrow,Red yellow crown,Light orange Mouth,Violet trapeziod wing 
Turkey,Deep blue trapezoid Hat,Big black eye&black long eyebrow,Black red hair,Black Mouth,Cyan trapeziod wing 
Crow,Dark blue rectangle glasses,Black purple eye&long eyebrow,Black yellow hair,Black Mouth,Pink  violet sector wing
Pigeon,Violet red polygon Hat,Cambridge blue eye&pink eyebrow,Orange hairdo,Red triangle Mouth,Agree wing
Wild Goose,Pink red round Hat,Black eye&orange eyebrow,Green braid,Orange triangle small Mouth,Blue tooth profine wing
Pelican,Pink square glasses,Black eye&jet black eyebrow,Black broken,Black yellow Mouth,White gray wing
Vulture,Black triangle glasses,Black eye&jet black eyebrow,Black yellow hair,Orange polygon  Mouth,Red wing
Magpie,Blue black triangle glasses,Black eye&orange eyebrow,Orange long hair,Black yellow Mouth,Blue  triangle  wing
Bullfinch,Orange black square Hat,Black cyan eye&long eyebrow,Orange hairdo,Golden quadrangle  Mouth,Dark cyan wing 
Pelican,Cyan pentagon glasses,Pink black eye&long eyebrow,Cyan Curly,Orange short Mouth,Black rhomboid wing
Seagull,Black Hat,Black eye&round eyebrow,Above color crown,Depp red triangle Mouth,Yellow trapeziod wing 
Chick,Dark blue  square glasses,Cambridge blue eye&black long eyebrow,Red yellow crown,Golden Mouth,Dark blue  wing 
Pelican,Cyan pentagon glasses,Black eye&round eyebrow,Pink short hair,Black triangle small Mouth,Orange trapeziod wing 
Bullfinch,Red black triangle glasses,Black purple eye&long eyebrow,Black red hair,Deep Gray triangle Mouth,Colours wing 
Turkey,Black white square glasses,White eye&Black eyebrow,Blue long hair,Black pink Mouth,Yellow tooth profine wing
Seagull,Orange yellow Hat,Small black eye&red long eyebrow,Red Curly,Deep Gray triangle Mouth,Agree sector wing
Oriole,Deep blue polygon Hat,Big black eye&long eyebrow,Orange long hair,Golden Mouth,Yellow rhomboid wing
Oriole,Yellow Hat,Cyan black eye&long eyebrow,Golden airplane,Get black triangle Mouth,Violetv wing
Duck,Brow hat,Black whiteeye&round eyebrow,Blue long hair,Blue small Mouth,Red sector wing
Chick,Dark blue  square glasses,Light cyan  eye&orange long eyebrow,Orange hairdo,Gray triangle Mouth,Iridescence wing
Pelican,Black pink Hat,Black eye&round eyebrow,Blue broken,Deep Gray triangle Mouth,Violet tooth profine wing
Swallow,Yellow quadrangle Hat,Cyan black eye&long eyebrow,Pink Curly,Orange short Mouth,Orange trapeziod wing 
Seagull,Orange yellow Hat,Big black eye&orange eyebrow,Pink middle parting,Orange small Mouth,White sector wing
Oriole,Red black triangle glasses,black orange eye&long eyebrow,Above color crown,Deep Gray triangle Mouth,Dark cyan wing 
Hummingbird,Orange round glasses,Big black eye&black long eyebrow,Pink short hair,Yellow long Mouth,Khaki front shape wing
Petrel,Orange square glasses,Black whiteeye&round eyebrow,Yellow Curly,Golden small Mouth,Yellow agree front shape wing 
Pigeon,Orange yellow Hat,Small black eye&orange  eyebrow,Blue short hair,Black orange long Mouth,Black rhomboid wing
Magpie,Dark blue headset,Orange eye& eyCambridge blue eyebrow,Light cyan hair,Deep Golden triangle Mouth,Dark cyan wing 
Vulture,Grey violet pentagon glasses,Black red eye&A round eyebrow,Black broken,Golden polygon Mouth,Gray trapeziod wing 
Petrel,Black white Hat,Big black eye&long eyebrow,Red punk,Depp red triangle Mouth,Yellow trapeziod wing 
Pelican,orange perked cap,Small black eye&long eyebrow,Red yellow crown,Gray Mouth,Pink  violet sector wing
Zebra Finch,Black rectangle glasses,Black eye&orange long eyebrow,Yellow Curly,Black orange long Mouth,Khaki front shape wing
Turkey,Black white Hat,White eye&black long eyebrow,Light cyan shorthair,Black pink Mouth,Dark red wing 
Penguin,Black flat Hat,Blue black eye&long eyebrow,Pink long hair,Orange long Mouth,Agree rhomboid wing
Crow,Dark orange necklace,Light cyan eye&orange eyebrow,Pink broken,Black bluw long Mouth,Violet rhomboid wing
Vulture,Black orange necklace,Orange eye& eyCambridge blue eyebrow,Green braid,Pale red Mouth,Gray rhomboid wing
Oriole,Deep blue polygon Hat,Small black eye&orange round eyebrow,Light cyan hair,Yellow long Mouth,Red wing
Vulture,Colous pentagon glasses,Black eye&Black eyebrow,Red airplane,Orange triangle big Mouth,Cyan trapeziod wing 
Hummingbird,Orange round glasses,Cyan black eye&long eyebrow,Cyan punk,Orange triangle big Mouth,Red trapeziod wing 
Turkey,Deep blue trapezoid Hat,Orange eye& eyCambridge blue eyebrow,Red Curly,Red triangle Mouth,Red trapeziod wing 
Zebra Finch,Yellow quadrangle Hat,Black eye&Black eyebrow,Cyan punk,Orange Mouth,Orange yellow wing
Oriole,Dark blue headset,Black eye&rectangle eyebrow,Plae yellow braid,Orange triangle big Mouth,Violet trapeziod wing 
Zebra Finch,Black triangle glasses,White eye&black long eyebrow,Red short hair,Blue black Mouth,Yellow trapeziod wing 
Duck,Orange round glasses,Black eye&long pink eyebrow,Above color crown,Gray Mouth,Dark blue cyan wing
Hummingbird,Orange black polygon Hat,Big black eye&black long eyebrow,Yellow braid,Blue triangle  Mouth,Red wing
Hummingbird,Black Hat,Light cyan  eye&orange long eyebrow,Yellow braid,Depp red triangle Mouth,Orange triangle  wing
Seagull,Blue Hat,Big black eye&orange eyebrow,Black long hair,Orange short Mouth,Orange white sector wing
Vulture,Black orange necklace,Black cyan eye&long eyebrow,Pink broken,Black yellow Mouth,Yellow trapeziod wing 
Cuckoo,Red black pentagon glasses,Light cyan eye&pink eyebrow,Red yellow crown,Red triangle Mouth,Blue front shape wing 
Vulture,Grey violet pentagon glasses,Blue eye&blue eyebrows,Blue punk,Orange long Mouth,Red trapeziod wing 
Chick,Dark blue gray polygon Hat,Black eye&orange long eyebrow,Cyan punk,Golden Mouth,White black rhomboid wing
Crow,Cambridge blue square glasses,Small black eye&orange  eyebrow,Pink broken,Blue black Mouth,Yellow trapeziod wing 
Pelican,Orange yellow Hat,Black eye&Black eyebrow,Plae yellow braid,Orange polygon  Mouth,Blue  triangle  wing
Hornbill,Blue square glasses,Small black eye&black long eyebrow,Pink long hair,Dark blue triangle Mouth,Cyan  tooth profine wing
